Assigned to;Repository Name;Image URL;Architecture Scope;Architectural Notation;Architectural Styles;Concern;Behavior;QAs;Granularity;Components Nature;Connectors Nature;Shapes;Colored?;Connectors Direction;Legend?;Nested Components?;Explicit Ports/Interfaces?;Explicit Connectors?;Design Overlays;Technologies;Notes
Anonymous;Simon-0711/ta_lyrics_sentiment_classification;https://github.com/Simon-0711/ta_lyrics_sentiment_classification/blob/main/images/architecture_highlevel.png;entire;UML;layered;deployment, control_flow;dynamic;maintainability, interaction_capability;high;containers;control_flow;rectangles, icons;y;uni, bi;n;y;n;y;n;fastapi, docker, kibana, elasticsearch;
Anonymous;TinkerWorks/HomeSensorHub;https://github.com/TinkerWorks/HomeSensorHub/blob/master/docs/top_level_architecture.png;entire;UML;NA;general;static;maintainability;low;classes, interfaces, functions;inheritance, composition;rectangles;y;uni;n;n;n;y;n;mqtt;IOT
Anonymous;ndsev/zswag;https://github.com/ndsev/zswag/blob/master/doc/zswag-architecture.png;entire;UML;client-server;general;static;maintainability;medium;packages, classes;dependencies;rectangles;y;uni;n;y;n;y;n;NA;
Anonymous;OpenPSD/modelbank;https://github.com/OpenPSD/modelbank/blob/master/modelbank_solution_architecture.png;entire;UML;MVC;general;static;maintainability;medium;packages, classes, data;inheritance;rectangles;n;uni;n;y;n;y;n;NA;
Anonymous;ballerina-platform/asyncapi-tools;https://github.com/ballerina-platform/asyncapi-tools/blob/main/asyncapi-cli/src/main/resources/architecture.jpg;entire;UML;MVC, clean;general;static;maintainability;low;classes, interfaces, functions, layers;inheritance;rectangles;y;uni;n;y;n;y;n;NA;good example of low level UML architecture
Anonymous;quasirsg/Henry-M3;https://github.com/quasirsg/Henry-M3/blob/master/02-Promises/img/software-architecture-introduction-3.png;part;UML;NA;control_flow;dynamic;functional_suitability;low;processes;control_flow;rectangles;y;uni;n;n;n;y;n;NA;
Anonymous;inovex/scrumlr.io;https://github.com/inovex/scrumlr.io/blob/main/server/architecture.png;part;UML;client-server;control_flow;dynamic;functional_suitability;high;servers, DBs;control_flow;rectangles, ellipses;y;uni;n;n;n;y;n;sql;
Anonymous;s-sokolko/smev3_adapter_service;https://github.com/s-sokolko/smev3_adapter_service/blob/master/architecture.jpg;part;UML;NA;data_flow;dynamic;functional_suitability;high;clients, packages;communication;rectangles;n;bi;n;n;n;y;n;mongodb;
Anonymous;EOS-Nation/dfuse-docs;https://github.com/EOS-Nation/dfuse-docs/blob/master/static/drawings/general_architecture.png;part;UML;NA;general;static;maintainability, performance_efficiency;medium;packages, DBs, clients;data_flow;rectangles;n;uni;n;y;n;y;text;aws, google, azure;
Anonymous;IBM/IBM-Spectrum-Scale-Security-Posture;https://github.com/IBM/IBM-Spectrum-Scale-Security-Posture/blob/master/SecurityPostureArchitecture.jpg;part;UML;NA;performance, security;dynamic;performance_efficiency, security;low;containers, technologies, clients;control_flow;rectangles;y;uni;n;n;n;y;n;ssh, elasticsearch, kibana;
Anonymous;matryx/MatryxPlatform;https://github.com/matryx/MatryxPlatform/blob/master/assets/ArchitectureDiagram.svg;entire;UML;NA;general;static;maintainability;low;classes, functions;dependencies, inheritance, composition;rectangles;n;uni;n;n;n;y;n;NA;
Anonymous;batatero/arquiteturaPHP00;https://github.com/batatero/arquiteturaPHP00/blob/master/Class%20Architecture.jpg;entire;UML;MVC;general;static;maintainability;low;packages, classes, functions;inheritance, dependencies;rectangles;y;uni;n;y;n;y;n;NA;
Anonymous;Taymindis/fcgi-function;https://github.com/Taymindis/fcgi-function/blob/master/images/fcgi_func_architecture.png;part;UML;NA;control_flow;static;functional_suitability, maintainability;low;functions, classes;control_flow;rectangles;n;uni;n;y;n;y;n;c, c++;
Anonymous;duanfuxiang0/MysqlMigrationTool;https://github.com/duanfuxiang0/MysqlMigrationTool/blob/master/static/img/architecture.jpg;part;UML;NA;control_flow;dynamic;maintainability, functional_suitability;low;DBs, classes;control_flow;rectangles;n;uni;n;n;n;y;n;NA;
Anonymous;awslabs/benchmark-ai;https://github.com/awslabs/benchmark-ai/blob/master/docs/images/sagemaker_executor_architecture.png;part;UML;client-server;control_flow;dynamic;maintainability, functional_suitability;medium;clients, technologies;data_flow;rectangles;n;uni;n;n;n;y;n;aws;
