Metric,Comparison,p-value,δ,Effect,Sig.
Clarity,Few-Shot (Claude),0.2664,+0.089,negligible,✗
Clarity,GPA (Claude Code),< 0.001,+0.494,large,✓
Clarity,One-Shot (DeepSeek),0.3058,+0.084,negligible,✗
Clarity,Zero-Shot (Claude),< 0.001,+0.180,small,✓
Completeness,Few-Shot (Claude),0.004,-0.113,negligible,✓
Completeness,GPA (Claude Code),1.0000,-0.023,negligible,✗
Completeness,One-Shot (DeepSeek),0.3433,-0.066,negligible,✗
Completeness,Zero-Shot (Claude),1.0000,-0.018,negligible,✗
Consistency,Few-Shot (Claude),0.0198,+0.097,negligible,✓
Consistency,GPA (Claude Code),< 0.001,+0.175,small,✓
Consistency,One-Shot (DeepSeek),0.9775,+0.050,negligible,✗
Consistency,Zero-Shot (Claude),0.001,+0.117,negligible,✓
Accuracy,Few-Shot (Claude),1.0000,+0.193,small,✗
Accuracy,GPA (Claude Code),0.006,+0.517,large,✓
Accuracy,One-Shot (DeepSeek),1.0000,+0.000,negligible,✗
Accuracy,Zero-Shot (Claude),1.0000,+0.129,negligible,✗
